id,parent_asin,author,title,category,publication_year,rating,helpful_vote,text
B000FCJZ3G000,B000FCJZ3G,T. Harv Eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,bm,2009,3.0,123,"This book is average at best.  A big commercial for his seminars, which are mentioned at least 100 times.  You never learn how to diagnose your own ""money blueprint"" because of course you have to pay to go to a seminar for that.  This was a big let down. Also there were no chapters so without natural breaks it was really hard to read.  There are a few decent lessons and highlights to take away, but much less useful than most other highly rated money books."
B000FCJZ3G001,B000FCJZ3G,T. Harv Eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,bm,2009,1.0,27,"The comparisons between how rich and poor people think are offensive and wrong. There is so much classism in this book that it's hard to even read it. Dripping with privilege and entitlement - and completely unaware of it. Also, the value of RICH! is really off-putting to me. Yeah, it would be nice to be a millionaire, but I am not interested in falling into an endless cycle of greed, self-interest, and not caring about social/economic injustice or the people in need. The only good thing about this book for me was that it reminded me of my own values by showing me how I do not want to be."
B000FCJZ3G002,B000FCJZ3G,T. Harv Eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,bm,2009,1.0,9,"I have read the book after I attended the the millionaire mindset seminar, hoping that the book provide more knowledge and less promotion on his products:  Things I liked about the book: - The money jar theory  Things I didn’t liked about the book: - The most parts of the book he kept advertising his seminars, I have bought this book so the author provide all his knowledge and experience, but he kept referring to his other courses and seminars, which I already have attended before reading the book, which it was disgustingly on the way he and his team promoting for their books and courses,  Unfortunately, people like T. Harv Eker damage the reputation of the Self Development, by caring less about the value they provide and care more about their pockets and how they can use the people.  I’m big fan of self development, but when I hear the name T. Harv Eker, immediately SCAM word cross my mind"
B000FCJZ3G003,B000FCJZ3G,T. Harv Eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,bm,2009,1.0,8,"This book is entirely based around selling seats at his weekend seminar. It only scratches the surface of topics but never fully explore the concepts. No, that is done at the seminar that is so awesome, you will read that 100x so you will believe it through out this book. I got the book through a recommendation from a friend but i can not believe it cost money. There are much better books out there on the subject that are ad free and on the topic what you payed for. Does mazon have quality control? This is not a book, it's adverticement that you pay for and therefore, it's a scam."
B000FCJZ3G004,B000FCJZ3G,T. Harv Eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,bm,2009,3.0,5,"Overall, I really like the book. The author does help you think about things in a different light. However, I could not get over all the pitches for his seminars. Really, the seminar pitches would take me out of the book, and put me into ""commercial mode."" You know, when you think to yourself, ""When does this commercial end so we can get back to the content?"" I wouldnt let that stop you from buying the book, but just so you know, you will get a pitch for the seminar every couple of pages."
B000FCKPHG005,B000FCKPHG,Carol S. Dweck,Mindset: The New Psychology of Success,bm,2006,4.0,11,"The book has  a great message.  However, it is the same message chapter after chapter.  It goes through how the growth mindset is a better way than the fixed set mindset in sports, business, schools, sales, your personal life, etc.  Each chapter gives various examples of how the people with the growth mindset were supreme and the people with the fixed mindset were small minded and often cruel individuals.  While I agree with the books message it felt a little preachy at times. While there were parts that gave you 'questions to ponder' to help you change your mindset I would have liked a more concrete path.  I bought the book looking for direct ways to implement this in my life and the children I work with.  I felt it was over-filled with examples of 'good/bad' instead of mostly focusing on the technique of changing your mind set.  The book could have been greatly condensed.  I gave it 4 stars because I believe the theory/philosophy are sound and valuable enough.  The book itself I would really only rate a 2.  Watch the You-Tube video about the theory if you are in a rush.  You will understand it completely."
B000FCKPHG006,B000FCKPHG,Carol S. Dweck,Mindset: The New Psychology of Success,bm,2006,4.0,9,"This is a very important work because it focuses anew on how people approach and achieve challenge either through a fixed or growth mindset.  Actually, there are many books out there that touch upon these concepts, though they use different names for these concepts.  Carolyn Dweck however articulates this idea a little differently, even if the concept of mindset is nothing new.  Her writing style is very readable and clear.  Yet, I did find some of her examples problematic -- sometimes vague, and sometimes inaccurate.  She also at times fails to acknowledge how we can achieve a growth mindset when decision makers around us, who are of a fixed mindset, attempt to control how we must operate at the workplace or home, even when we genuinely seek to operate in the growth mindset.  I also did not like how Dweck waited until half way through the book to point out that each of us have aspects of fixed and growth mindsets in us.  Throughout the first half I was arguing with her, figuratively speaking, because I thought this was likely.  Still despite certain misgivings about how the book was written, I still thought it was a very important work.  I found it to be very provocative, as it elicited profound reflection, both personally and professionally in considering how mindset works in both realms."
B000FCKPHG007,B000FCKPHG,Carol S. Dweck,Mindset: The New Psychology of Success,bm,2006,3.0,9,"The core of this book - that people can change, and that focusing on effort instead of results can lead to improving the efficacy of your efforts - is quite good.  It suffers, though, from the way the narratives are framed.  Talent based outlooks are not presented as reasonable strategies chosen because they worked for a time, while effort based strategies are not presented as potentially dangerous because they can fail due to insufficient skill.  If a task is not in range of your present skill level, no amount of effort is going to magically change you in the short term, even if your long term prospects are good.  I do agree with Dr Dweck's overall point -  focus on improving your skills and putting in the effort to improve is going to have better outcomes than not doing so, but the book would have been improved by adding more focus on how to asses your current skill as compared to the task.  Even for someone in the ""growth mindset"", knowing how far you have to go will help you set your goals and timelines."
B000FCKPHG008,B000FCKPHG,Carol S. Dweck,Mindset: The New Psychology of Success,bm,2006,3.0,9,"I bought this book to help my daughter.  She has quite a serious issue with fixed mindset, so I got the kindle version, which I now realise was a mistake.  You see a kindle has this little tracker at the bottom of each page telling you how far through the book in terms of %.  I was so determined to help my daughter that I sat down and read the first 25% in a single sitting. The supporting material was great, I’d read about what fixed mindset looks like, why people think like they do, and why it’s a problem.  The next day I read the next 25%, lots more supporting information, and some examples about how this stuff can profoundly affect people’s growth, and how overcoming it can be profoundly life changing. Great! Next 25% of the book more of the same, but I figure you know maybe it’s just me, maybe some people take longer to understand the ramifications.  Then at about 76%, the book talks about a “brainology class” used across 20 schools and how amazing the results have been... finally I think to myself we’re getting to the payoff.... “obviously this brainology or mindset workshop was performed with a large staff and isn’t easy to replicate at scale” ... ok I get that, but you’ve come up with a way to adapt this workshop, right?  Two pages later... “the rest of this book will be about you!” Wait... what? By the fact that I picked up this book shows that either I already have a growth mindset and I’m looking to make it better, or I have a fixed mindset, but am looking to improve (also indicating that I’m aware of what needs fixing and want to grow)... so telling me to look at fixed mindset situations differently is great.... but how do I teach a child with a fixed mindset, that doesn’t realise they have a problem to change their thinking? It’s already been highlighted extensively in the book that people that don’t realise they have a fixed mindset, are unlikely to understand and appreciate the changes they need to make. How many psychologists does it take to change a lightbulb? Only one, but the lightbulb has to “want” to change first!  So, if you’re one of those people that is aware they have a problem, know you need to change it, and are ready for the change, then this will be a great help (once you get past the first 75% of the book).  There is a part of the book that helps you guide your children to a growth mindset (between about 79% and 82%), and I’m super thankful for those pages, and will implement them with excitement and optimism, after that it slides back into having the reader think about things differently and focus on internal mindsets and self-help.  Then there’s a summary about how to progress your self-help and maintain your growth mindset.  The book is done at about 85% and the rest is notes, bibliographical references, and other appendices.  So I guess in summary, if we look at the sum total of the book (as 100%).  79% is supporting material, setting the scene; 6% is guidance (79% to 85%) and the remaining 15% is the usual supplementary material found at the end of non-fiction books.  Perhaps I’m being too hard here, I may have missed some real gold nuggets here, but I really started to struggle at 70%.  The book is solid and really helps you see fixed mindset for the damaging thing that it is (let’s face it if you don’t understand it after 75% of the book, then maybe you need to work harder at it) and really helps you see the trait in others, but ultimately I was overwhelmed with background, and underwhelmed with the self-help aspect."
B000FCKPHG009,B000FCKPHG,Carol S. Dweck,Mindset: The New Psychology of Success,bm,2006,5.0,5,"Self-help books seem to have this formulaic approach of drowning the reader in  areal world' examples of people and the binary outcomes of their actions without ever actually teaching the tools needed to make the changes you were hoping to learn through purchasing the book. Sadly, that was this book, too. I like the idea and I understand the concepts, but I was looking for TOOLS AND METHODS TO DRIVE CHANGE from a very fixed mindset to a growth mindset. Just how do you break life-long habits of thought that defines a personality? You will not get that from this book.  TL;DR: Fixed mindsets do not allow for growth, learning, and positive outcomes from negative situations. You can recognize a fixed mindset by being fixed in your mindset.  Update: Everything I said before about this book is still valid, and yet, I am so happy that I read and was receptive to the information it provided. I recognized so much of myself and my life arc in the examples I just wanted to know how to fix myself. Months later, I can honestly say that this book has changed my Mindset. It does appear that just recognizing fixed mindset patterns and behaviors is enough to make the change to a growth mindset. I have had a fixed mindset since I was a young child. Recognizing all of the issues and self- limitations that came with the mindset has set me free. It has made me a happier, more receptive person."
B000OT8GD0010,B000OT8GD0,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,bm,2006,5.0,86,"Other reviewers have done an excellent job of reviewing the book’s thrust and content, so I’m going to assume I don’t need to do that here.  I do want to say I did not expect a scientific journal article. What I anticipated is what I got – a delightful application of fascinating social psychological evidence to ways of approaching and understanding real life problems.  With a degree in social psychology, I can’t help being excited and impressed by the research contributions of the field. The findings he cites often seem obvious and “of course” once the results are in. And sometimes the results contradict “common sense.” Always they require clever design by those who create the hypotheses and methods of measurement.  But this book does not claim to produce new research. What the author does is present interesting and validated findings in a way that organizes them for potential application to a given range of problems. Readers who want more scientific journal type evidence are free to take the suggestions and create their own statistically designed clever research.  As for me, his suggestions set me to thinking and observing life as it is lived. I will confess, I wish he had been able to identify a numerical tipping point. It would help me a lot in my efforts to create an epidemic of readers for my latest book. But maybe some of what I’m doing will be helped by thinking along the lines he suggests.  I thoroughly enjoyed the book – a good, thought provoking read."
