id,parent_asin,author,title,category,publication_year,rating,helpful_vote,text
B005H0O8KQ000,B005H0O8KQ,John McPhee,Annals of the Former World,sm,2000,5.0,76,"Page-turning suspense, profound human interest, a remarkable narrative arc, and shocking violence. Subject: geology. I am not kidding.  I am a complete newbie to geology. But even if, like me, you do not know schist about the subject, you will enjoy this wonderful book. Other reviewers here have pointed out some outdated information or subjective emphases. Okay, but he's writing a narrative, not a textbook.  Before charging off on this book -- which, BTW, is great value for money -- be sure you are familiar with Kindle's look-up feature. I used it literally dozens of times to get definitions of unfamiliar terms. What you get out of this book depends on the effort you put into it."
B005H0O8KQ001,B005H0O8KQ,John McPhee,Annals of the Former World,sm,2000,5.0,26,"Take a field trip through North America's Basin and Range province, stretching East to West from Utah to California and South to North from Mexico to Oregon, and you are in a land being pulled apart by Tectonic Forces to someday becoming an arm jutting out from North America into the Pacific Ocean.  Baja and California will become first a very long peninsula then later a archipelago west of the continent.  Our world is indeed changing all around us.  If you really love reading about Geology and Geography then John McPhee's Pulitzer Prize winning 1998 book ""Annals of the Former World"" may be just what you are looking for.  It's  actually like reading 5 shorter books on different aspects of geology: regional landscapes, exotic features, exploring the craton and even California*.  But no matter what your interest are, if you tackle this monumental work of over 700 pages be prepared for lots of technical terminology in the Earth Sciences and Geography along with some interesting bits of cultural-history, biographies of various geologist and what frontier life was like in the various regions covered.  Some readers may not like McPhee's frequent philosophical or biographical passages, that can be quite long and cover a lot of ground, but his inner thoughts just reflect his passion for geology and all the related sciences'.  For me this was a long, tough but rewarding read.  Some portions of the book flowed along smoothly while others left me feeling somewhat overwhelmed by the author's lengthy and technical writing style, so unless you are up for a very challenging read you might want to look elsewhere.  But I, for one, found this to be an enjoyable book that took me to remote location around North America, the Globe, and back into Earth's Deep Time exploring the origins of our landscape, where it came from and where it's going.  McPhee's writing  is very descriptive, giving you a clear picture of the places he, and his geologist friends, were traveling through. There are not many illustrations in the Kindle edition; a few photos, some charts and maps, so my iPad got a real workout as I looked up various mountain ranges and other geological regions.  But it became clear to me that if I were to take a motor trip through the western United States I would want to have a friendly geologist with me just to help me understand what we were looking at.  All features on the Earth have a long history and it helps to have some idea of their origins and the events that led to their present condition.  In this book you will learn about sea mounts and hot-spots, plate tectonics and continental drift, how mountains grow and erode away, how seas come and go and how long all this has been going on.  Be sure to read the author’s Afterword: “A Narrative Table of Contents”, it will explain a lot of questions you may have.  In my case I read it after but it would also make a good introduction to the author and book.  The science in this book was cutting-edge in 1998 but things are always changing and new theories can spring up almost overnight.  Over the past decade new observations have lead to new ideas and new ways of looking at the land and its history.  But things in geology change at a very slow pace, so whatever “dated” material there may be in the text shouldn’t make any difference to the general reader.  If you are interested in learning the history of land formations, diamonds, glacial till or just plain old rocks, than ""Annals of the Former World"" is a good bet!  I had no technical or downloading problems with this Kindle edition.  *As far as I can tell the text was also published as 4 or 5 different books, one for each chapter.  Last Ranger"
B005H0O8KQ002,B005H0O8KQ,John McPhee,Annals of the Former World,sm,2000,4.0,21,"As someone with a technical background but virtually no geology, this well written book is just a bit too much for me.  I love the way McPhee writes and his descriptions are masterful. Still, the quantity of geologic periods and the terms that accompany them left me weary.  Maybe I am a visual learner and would need to take a geology class in the field where I could see just what he is talking about."
B005H0O8KQ003,B005H0O8KQ,John McPhee,Annals of the Former World,sm,2000,5.0,13,"This is a collection of 5 previous books by this iconic Geologist/writer. Highly technical but for the reader who will stick with him, the best way to gain insights into global geologic history. A good refresher and teacher for geologists whose educations or experiences are dated. Keep a dictionary handy, but stick with it to become re-educated or refreshed in how the world got this way."
B005H0O8KQ004,B005H0O8KQ,John McPhee,Annals of the Former World,sm,2000,5.0,7,"JOHN FOSTERED A LOVE OF GEOLOGY IN MY LIFE , I HAVE ENJOYED TRAVELLING AROUND THE COUNTRY AND VIEWING THE SIGHTS PRESENTED BY JOHN , I HAVE LIVED IN THE BASIN AND RANGE COUNTRY IN AND AROUND RENO ,NEV AND HAVE ENJOYED WYOMING IN JULY AND MONTANA ...HELENA MONT LOOKS LIKE YOU ARE ON TOP OF THE WORLD , EVEN THE CLOUDS SEEM TOUCHABLE , SO BEAUTIFUL. AND DON'T PASS UP CALIFORNIA AS A GEOLOGICAL WAREHOUSE ,IT  IS BEAUTIFUL BEYOND BELIEF. SO GET OUT THERE AND GOUGE AROUND...YOU WILL NOT BE DISAPPOINTED AND THAT'S A PROMISE. AMERICA IS BEAUTIFUL."
B018E7HFNK005,B018E7HFNK,Christie Wilcox,Venomous: How Earth's Deadliest Creatures Mastered Biochemistry,sm,2016,1.0,24,"This book gets a one star review which is unrelated to the content or style.  The book is actually well written and extremely interesting.  However, whoever created the Kindle version should be fired--or at least promoted to position where he or she can do less harm.  None of the book's illustrations are included in the Kindle edition.  This might not be fatal--but still annoying--but the blank pages where the illustrations should appear apparently contain some text so that several sentences and maybe even whole paragraphs are missing.  This makes reading a little difficult.  I liked the book well enough that I will probably go over to my local Barnes and Noble and pick up a hardcover version but I am extremely disappointed in the way it was prepared for my Kindle."
B018E7HFNK006,B018E7HFNK,Christie Wilcox,Venomous: How Earth's Deadliest Creatures Mastered Biochemistry,sm,2016,5.0,9,"This is an excellent book by a great science communicator - and one that I found hard to put down. It's a well-balanced narrative that combines personal anecdotes, biographical interludes focused on some true characters, and a strong core of solid science. Venomous creatures - and their number is huge - both enthrall & terrify us, and that fear leads to attempts to destroy them. Wilcox argues convincingly that we should instead respect and protect these creatures - if not for their own intrinsic & ecological value, then because they have the very real potential to save our lives.  very strongly recommended."
B018E7HFNK007,B018E7HFNK,Christie Wilcox,Venomous: How Earth's Deadliest Creatures Mastered Biochemistry,sm,2016,5.0,7,"This book is scientifically stimulating but, perhaps more importantly, it is vibrant and hopeful for humans and venomous creatures as well. The biochemistry is artfully engaging and easy to follow.  The author uses a deft hand blending breakthroughs and personal experiences to create an accessible and engaging story.  It was literally better than many novels I have read in terms of entertainment."
B018E7HFNK008,B018E7HFNK,Christie Wilcox,Venomous: How Earth's Deadliest Creatures Mastered Biochemistry,sm,2016,5.0,6,"I am not any type of scientist, naturalist, doctor or any other type of person who you'd expect to read this type of book, but this book was very thought provoking, entertaining, and we will written. The most insightful explanation of the mechanics of evolution I have ever read. Meet lots of interesting, diverse organisms. I never had a clue or much of any thoughts about the huge range of toxins and their used for many species including us. Another deep and good argument toward stopping destroying life's diversity on this planet."
B018E7HFNK009,B018E7HFNK,Christie Wilcox,Venomous: How Earth's Deadliest Creatures Mastered Biochemistry,sm,2016,3.0,5,"I cringe when a scientist describes a shark and an insect as vicious . Too much anthropomorphizing. Otherwise some good descriptions of the venom, though heavy on chemistry."
